feature,mean,std,min,max
age,15.928333333333333,2.0219472745861995,13.0,19.0
daily_social_media_hours,4.536666666666667,2.02959888037881,1.0,8.0
sleep_hours,6.449416666666667,1.4426771725657908,4.0,9.0
screen_time_before_sleep,1.740333333333333,0.7166597681198451,0.5,3.0
academic_performance,2.9903833333333334,0.5767575117948028,2.0,4.0
physical_activity,1.0145000000000002,0.5821845632799229,0.0,2.0
stress_level,5.445833333333334,2.903289550504269,1.0,10.0
anxiety_level,5.636666666666667,2.859452618938722,1.0,10.0
addiction_level,5.565,2.8306274999316803,1.0,10.0
depression_label,0.025833333333333333,0.15870400548406496,0.0,1.0
