,std_coef
location_and_movement,0.8764750826060792
boarding_lounge_comfort,0.7405975988876137
baggage_claim_process,0.564348920183099
food_beverage_outlets,0.39663201134868303
overall_airport_cleanliness,0.33259417902272864
power_outlet_availability,0.32686148156932043
restrooms,0.26632648778984025
signage,0.22512214136709138
checkin_process,0.19474741201380602
parking,0.1815998794564175
retail_outlets,0.1772071901074988
curbside_dropoff_ease,0.15017032756262116
food_beverage_outlet_quantity,0.14343149563105445
baggage_carousel_identification_ease,0.12586385994569804
security_screening_process,0.11932045929322628
airport_internet,0.11590281495441304
thermal_comfort,0.10997764037046487
baggage_claim_time,0.10343761610110346
security_staff_service,0.10023740795196064
checkin_queue_wait_time,0.09952205379092968
transport_options_to_airport,0.08911117294087201
flight_information_display_availability,0.08529424721756634
restroom_maintenance,0.08269103908508606
restroom_quantity,0.08138495215880442
immigration_queue_wait_time,0.07926352438461015
baggage_integrity,0.06842639820684558
security_queue_wait_time,0.06641106319278121
parking_facility_quality,0.06540159585403377
staff_courtesy,0.06081082903881895
seat_availability,0.058965540382526244
food_beverage_quality_variety,0.05854614730754172
service_window_quantity,0.051731165588507266
disembarkation_method_rating,0.04888336422647967
ticket_purchase_process,0.04738968983854453
retail_quality_variety,0.04725270825988261
internet_connection_speed,0.04649339563856359
immigration_staff_service,0.04635659602099598
checkin_service_time,0.043817711277235195
checkin_counter_quantity,0.042320823793880157
customs_control,0.040645723224520106
immigration_control,0.039184039856156504
food_beverage_price_quality,0.03715592459749881
parking_value_for_money,0.03275779704677651
retail_outlet_quantity,0.02831895548366141
acoustic_comfort,0.026504634490369983
reserved_seat_availability,0.01840170974936381
terminal_accessibility,0.01669760293148276
customs_queue_organization,0.016401183431481958
restroom_cleanliness,0.014468342117780496
parking_terminal_access_ease,0.010345827897960375
customs_staff_service,0.009056974611933211
network_access_ease,0.00792316830832504
arrival_lead_time,0.006127831227963827
customs_queue_wait_time,0.0022862974528137098
airline_service,0.0011024923696593527
connection_wait_time,-0.00023407543801222316
self_service_kiosk_quantity,-0.005301325027187364
parking_space_availability_ease,-0.005972198198322887
immigration_queue_organization,-0.010307522716824606
retail_price_quality,-0.014875685252578586
checkin_queue_organization,-0.023010601188904002
security_queue_organization,-0.03447419137180635
