,process=Boarding,process=Disembarkation,flight_type=Domestic,flight_type=International
location_and_movement,0.07443633055499826,0.3996836888762258,0.1674443501129965,0.1290867003837406
boarding_lounge_comfort,0.14149412850427323,0.0,0.10267054575498338,0.06563901803609148
overall_airport_cleanliness,0.09500982722941098,0.0,0.07258182186435609,0.04524634042681539
power_outlet_availability,0.06787212581941723,0.0,0.05305321667530915,0.037670023764396654
baggage_claim_process,0.0,0.216160736730907,0.04854855121463923,0.053049343252114994
signage,0.019517431495953638,0.10446994701271908,0.041601259320802546,0.03959728993988415
restrooms,0.04733895050097309,0.0,0.0355337000892404,0.026324796435056193
arrival_lead_time,0.0452898925617567,0.0,0.03664985485098335,0.021222637540120194
food_beverage_outlets,0.044464765616203564,0.0,0.03494410152361162,0.03757879454552028
curbside_dropoff_ease,0.03358059894266141,0.0,0.03027676788131738,0.017844273209571656
seat_availability,0.03479682678122855,0.0,0.026836364950623668,0.022096486213482626
transport_options_to_airport,0.030023832565399953,0.0,0.02453022055984194,0.01780436999346471
security_screening_process,0.028907396085367097,0.0,0.023664002745872582,0.020529125932644263
thermal_comfort,0.03013776866377931,0.0,0.023615582817952282,0.027889307126934527
baggage_claim_time,0.0,0.07681534492506435,0.019781354471527332,0.022923831606201164
