trip_purpose,like_rate,n
Sports,0.6947368421052632,95
Religious/mission,0.625,8
Legal/embassy,0.5909090909090909,66
Relocation/return home,0.5566502463054187,203
Family,0.5557759048091224,2017
Study/conference,0.5523012552301255,717
Leisure,0.5174744897959184,15680
Exam/selection process,0.5,2
Other,0.4915254237288136,1298
Leisure and business,0.4724517906336088,726
Business,0.43748442302899393,12037
Health,0.4260355029585799,338
Funeral,0.4166666666666667,72
Unknown/no answer,0.3333333333333333,21
Shopping,0.0,2
Wedding,0.0,1
