trip_purpose,mean_resid,n
Religious/mission,0.3632795189093785,8
Exam/selection process,0.21916564460001867,2
Legal/embassy,0.12444455855142886,66
Sports,0.07919929543808633,95
Study/conference,0.060256925472347074,717
Relocation/return home,0.05573386999307334,203
Family,0.040434665741235255,2017
Leisure and business,0.01694248869483606,726
Health,0.015839895933919847,338
Funeral,0.011576563873479759,72
Leisure,0.009037287212146085,15680
Business,0.006476927383992782,12037
Unknown/no answer,-0.021074544835593033,21
Other,-0.028695529323257706,1298
Wedding,-0.11592746455875057,1
Shopping,-0.4099912737845563,2
